CSO,Full Address,Address,City,State,Zip,Latitude,Longitude
Auburn,"1050 High Street, Auburn, CA, 95603",1050 High Street,Auburn,CA,95603,38.9001815,-121.0698998
Burney,"20806 Black Ranch Road, Burney, CA, 96013",20806 Black Ranch Road,Burney,CA,96013,40.89394,-121.651015
Chico,"350 Salem Street, Chico, CA, 95928",350 Salem Street,Chico,CA,95928,39.7277425,-121.8409041
Clearlake,"14730 Olympic Drive, Clearlake, CA, 95422",14730 Olympic Drive,Clearlake,CA,95422,38.9619833,-122.6362673
Colusa,"321 Fifth Street, Colusa, CA, 95932",321 Fifth Street,Colusa,CA,95932,39.2127469,-122.0083357
Davis,"202 Cousteau Place #150, Davis, CA, 95616",202 Cousteau Place #150,Davis,CA,95616,38.5509042,-121.7103734
Eureka,"2555 Myrtle Avenue, Eureka, CA, 95501",2555 Myrtle Avenue,Eureka,CA,95501,40.7834045,-124.1284304
Fort Bragg,"100 N Main Street, Fort Bragg, CA, 95437",100 N Main Street,Fort Bragg,CA,95437,39.4418819,-123.8057542
Fortuna,"2755 Rohnerville Road, Fortuna, CA, 95540",2755 Rohnerville Road,Fortuna,CA,95540,40.5909169,-124.1377816
Garberville,"1328 Redwood Drive, Garberville, CA, 95542",1328 Redwood Drive,Garberville,CA,95542,40.1091204,-123.7958229
Geyserville,"20880 Geyserville Rd., Geyserville, CA, 95441",20880 Geyserville Rd.,Geyserville,CA,95441,38.7051218,-122.9012134
Grass Valley,"127 E Main Street, Grass Valley, CA, 95945",127 E Main Street,Grass Valley,CA,95945,39.2192922,-121.0607194
Guerneville,"14040 Church Street, Guerneville, CA, 95446",14040 Church Street,Guerneville,CA,95446,38.5024576,-122.9989951
Jackson,"12626 Jackson Gate Road, Jackson, CA, 95642",12626 Jackson Gate Road,Jackson,CA,95642,38.3696753,-120.7917848
Lakeport,"325 N. Forbes Street, Lakeport, CA, 95453",325 N. Forbes Street,Lakeport,CA,95453,39.044233,-122.9165153
Marysville,"231 ""D"" Street, Marysville, CA, 95901","231 ""D"" Street",Marysville,CA,95901,39.1379998,-121.5883304
Napa,"1850 Soscal Avenue, Napa, CA, 94559",1850 Soscal Avenue,Napa,CA,94559,38.3081974,-122.2844365
Orland,"810 4th St, Orland, CA, 95963",810 4th St,Orland,CA,95963,39.7458899,-122.1946035
Oroville,"1567 Huntoon Street, Oroville, CA, 95965",1567 Huntoon Street,Oroville,CA,95965,39.5115882,-121.5551298
Placerville,"4636 Missouri Flat Road, Placerville, CA, 95667",4636 Missouri Flat Road,Placerville,CA,95667,38.6958779,-120.8249329
Quincy,"435 W. Main Street, Quincy, CA, 95971",435 W. Main Street,Quincy,CA,95971,39.9369936,-120.9468247
Red Bluff,"515 Luther Road, Red Bluff, CA, 96080",515 Luther Road,Red Bluff,CA,96080,40.1603547,-122.2302014
Redding,"3600 Meadow View Road, Redding, CA, 96002",3600 Meadow View Road,Redding,CA,96002,40.4988851,-122.3046002
Roseville,"151 N. Sunrise Avenue, Roseville, CA, 95661",151 N. Sunrise Avenue,Roseville,CA,95661,38.7465036,-121.2644249
Sacramento,"5555 Florin-Perkins Road, Sacramento, CA, 95826",5555 Florin-Perkins Road,Sacramento,CA,95826,38.5260258,-121.3899632
Santa Rosa,"111 Stony Circle, Santa Rosa, CA, 95401",111 Stony Circle,Santa Rosa,CA,95401,38.439191,-122.7462902
Sonoma,"500 West Napa Street Ste. 526A, Sonoma, CA, 95416",500 West Napa Street Ste. 526A,Sonoma,CA,95416,38.2941288,-122.4685911
Ukiah,"2641 N. State Street, Ukiah, CA, 95482",2641 N. State Street,Ukiah,CA,95482,39.1839031,-123.2086269
Vacaville,"770 Mason Street Suite 160, Vacaville, CA, 95688",770 Mason Street Suite 160,Vacaville,CA,95688,38.3537295,-121.9836095
W. Sacramento,"1410 Merkley Avenue, West Sacramento, CA, 95691",1410 Merkley Avenue,West Sacramento,CA,95691,38.5795042,-121.5270386
Willits,"1601 Baechtel Rd, Willits, CA, 95490",1601 Baechtel Rd,Willits,CA,95490,39.3904032,-123.3430471
Woodland,"242 No. West Street, Woodland, CA, 95695",242 No. West Street,Woodland,CA,95695,38.679357,-121.7840167
